quarter,industry1,industry2,industry3,retrench,retrench_permanent,retrench_term_contract
1998-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",20,20,-
1998-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,150,140,10
1998-Q3,manufacturing,paper products and publishing,paper products and publishing,100,100,-
1998-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,120,120,-
1998-Q3,manufacturing,rubber and plastic products,rubber and plastic products,480,450,30
1998-Q3,manufacturing,fabricated metal products,fabricated metal products,250,250,-
1998-Q3,manufacturing,machinery and equipment,machinery and equipment,790,670,120
1998-Q3,manufacturing,electrical products,electrical products,400,400,-
1998-Q3,manufacturing,electronic products,electronic products,1760,1700,60
1998-Q3,manufacturing,medical and precision instruments,medical and precision instruments,50,50,-
1998-Q3,manufacturing,transport equipment,transport equipment,40,40,10
1998-Q3,manufacturing,other manufacturing industries,other manufacturing industries,160,110,50
1998-Q3,construction,construction,construction,600,220,380
1998-Q3,services,wholesale and retail trade,wholesale trade,1050,930,120
1998-Q3,services,wholesale and retail trade,retail trade,120,110,10
1998-Q3,services,hotels and restaurants,hotels,270,270,-
1998-Q3,services,hotels and restaurants,restaurants,70,60,-
1998-Q3,services,"transport, storage and communications","transport, storage and communications",200,180,20
1998-Q3,services,financial intermediation,financial institutions,240,220,20
1998-Q3,services,financial intermediation,insurance and pension funding,20,20,-
1998-Q3,services,real estate and business,real estate and business,550,440,120
1998-Q3,services,community,community,170,140,30
1998-Q3,others,others,others,10,-,10
1998-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",170,170,-
1998-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,20,20,-
1998-Q4,manufacturing,paper products and publishing,paper products and publishing,240,240,-
1998-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,70,70,-
1998-Q4,manufacturing,rubber and plastic products,rubber and plastic products,170,160,10
1998-Q4,manufacturing,fabricated metal products,fabricated metal products,230,230,10
1998-Q4,manufacturing,machinery and equipment,machinery and equipment,370,300,70
1998-Q4,manufacturing,electrical products,electrical products,370,370,-
1998-Q4,manufacturing,electronic products,electronic products,3310,3110,200
1998-Q4,manufacturing,medical and precision instruments,medical and precision instruments,70,70,-
1998-Q4,manufacturing,transport equipment,transport equipment,80,80,10
1998-Q4,manufacturing,other manufacturing industries,other manufacturing industries,80,80,-
1998-Q4,construction,construction,construction,680,470,210
1998-Q4,services,wholesale and retail trade,wholesale trade,1010,990,20
1998-Q4,services,wholesale and retail trade,retail trade,250,250,-
1998-Q4,services,hotels and restaurants,hotels,130,130,-
1998-Q4,services,hotels and restaurants,restaurants,110,100,10
1998-Q4,services,"transport, storage and communications","transport, storage and communications",190,180,10
1998-Q4,services,financial intermediation,financial institutions,660,660,10
1998-Q4,services,financial intermediation,insurance and pension funding,30,30,-
1998-Q4,services,real estate and business,real estate and business,290,280,20
1998-Q4,services,community,community,50,40,-
1998-Q4,others,others,others,20,-,20
1999-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",50,50,-
1999-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,20,20,-
1999-Q1,manufacturing,paper products and publishing,paper products and publishing,50,50,-
1999-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,80,80,-
1999-Q1,manufacturing,rubber and plastic products,rubber and plastic products,30,30,-
1999-Q1,manufacturing,fabricated metal products,fabricated metal products,20,20,10
1999-Q1,manufacturing,machinery and equipment,machinery and equipment,210,200,10
1999-Q1,manufacturing,electrical products,electrical products,90,90,-
1999-Q1,manufacturing,electronic products,electronic products,600,550,50
1999-Q1,manufacturing,medical and precision instruments,medical and precision instruments,40,40,-
1999-Q1,manufacturing,transport equipment,transport equipment,10,10,-
1999-Q1,manufacturing,other manufacturing industries,other manufacturing industries,30,30,-
1999-Q1,construction,construction,construction,420,240,180
1999-Q1,services,wholesale and retail trade,wholesale trade,530,530,-
1999-Q1,services,wholesale and retail trade,retail trade,90,90,-
1999-Q1,services,hotels and restaurants,hotels,140,140,-
1999-Q1,services,hotels and restaurants,restaurants,20,20,-
1999-Q1,services,"transport, storage and communications","transport, storage and communications",90,90,-
1999-Q1,services,financial intermediation,financial institutions,730,730,-
1999-Q1,services,financial intermediation,insurance and pension funding,-,-,-
1999-Q1,services,real estate and business,real estate and business,350,300,40
1999-Q1,services,community,community,110,110,-
1999-Q1,others,others,others,-,-,-
1999-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",310,300,10
1999-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,-,-,-
1999-Q2,manufacturing,paper products and publishing,paper products and publishing,70,70,-
1999-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,40,40,-
1999-Q2,manufacturing,rubber and plastic products,rubber and plastic products,120,120,-
1999-Q2,manufacturing,fabricated metal products,fabricated metal products,30,30,-
1999-Q2,manufacturing,machinery and equipment,machinery and equipment,170,160,10
1999-Q2,manufacturing,electrical products,electrical products,200,200,-
1999-Q2,manufacturing,electronic products,electronic products,910,780,130
1999-Q2,manufacturing,medical and precision instruments,medical and precision instruments,20,20,-
1999-Q2,manufacturing,transport equipment,transport equipment,80,10,70
1999-Q2,manufacturing,other manufacturing industries,other manufacturing industries,30,30,-
1999-Q2,construction,construction,construction,110,70,30
1999-Q2,services,wholesale and retail trade,wholesale trade,470,460,10
1999-Q2,services,wholesale and retail trade,retail trade,230,230,-
1999-Q2,services,hotels and restaurants,hotels,-,-,-
1999-Q2,services,hotels and restaurants,restaurants,40,30,10
1999-Q2,services,"transport, storage and communications","transport, storage and communications",240,240,-
1999-Q2,services,financial intermediation,financial institutions,290,290,-
1999-Q2,services,financial intermediation,insurance and pension funding,10,10,-
1999-Q2,services,real estate and business,real estate and business,200,200,-
1999-Q2,services,community,community,50,50,-
1999-Q2,others,others,others,-,-,-
1999-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",90,40,50
1999-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,10,10,-
1999-Q3,manufacturing,paper products and publishing,paper products and publishing,10,10,-
1999-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,40,40,-
1999-Q3,manufacturing,rubber and plastic products,rubber and plastic products,100,90,-
1999-Q3,manufacturing,fabricated metal products,fabricated metal products,140,130,-
1999-Q3,manufacturing,machinery and equipment,machinery and equipment,40,30,10
1999-Q3,manufacturing,electrical products,electrical products,10,10,-
1999-Q3,manufacturing,electronic products,electronic products,1330,1330,10
1999-Q3,manufacturing,medical and precision instruments,medical and precision instruments,30,30,-
1999-Q3,manufacturing,transport equipment,transport equipment,30,30,-
1999-Q3,manufacturing,other manufacturing industries,other manufacturing industries,60,60,-
1999-Q3,construction,construction,construction,110,70,40
1999-Q3,services,wholesale and retail trade,wholesale trade,310,290,20
1999-Q3,services,wholesale and retail trade,retail trade,260,260,-
1999-Q3,services,hotels and restaurants,hotels,260,260,-
1999-Q3,services,hotels and restaurants,restaurants,10,10,-
1999-Q3,services,"transport, storage and communications","transport, storage and communications",160,160,-
1999-Q3,services,financial intermediation,financial institutions,180,180,-
1999-Q3,services,financial intermediation,insurance and pension funding,10,10,-
1999-Q3,services,real estate and business,real estate and business,350,330,20
1999-Q3,services,community,community,40,40,-
1999-Q3,others,others,others,-,-,-
1999-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-,-,-
1999-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,-,-,-
1999-Q4,manufacturing,paper products and publishing,paper products and publishing,20,20,-
1999-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,150,150,-
1999-Q4,manufacturing,rubber and plastic products,rubber and plastic products,60,60,-
1999-Q4,manufacturing,fabricated metal products,fabricated metal products,80,80,-
1999-Q4,manufacturing,machinery and equipment,machinery and equipment,70,60,10
1999-Q4,manufacturing,electrical products,electrical products,40,40,-
1999-Q4,manufacturing,electronic products,electronic products,2360,2360,-
1999-Q4,manufacturing,medical and precision instruments,medical and precision instruments,-,-,-
1999-Q4,manufacturing,transport equipment,transport equipment,480,480,-
1999-Q4,manufacturing,other manufacturing industries,other manufacturing industries,50,50,-
1999-Q4,construction,construction,construction,190,130,60
1999-Q4,services,wholesale and retail trade,wholesale trade,190,190,-
1999-Q4,services,wholesale and retail trade,retail trade,220,220,-
1999-Q4,services,hotels and restaurants,hotels,60,60,-
1999-Q4,services,hotels and restaurants,restaurants,30,30,-
1999-Q4,services,"transport, storage and communications","transport, storage and communications",90,70,20
1999-Q4,services,financial intermediation,financial institutions,350,290,60
1999-Q4,services,financial intermediation,insurance and pension funding,10,10,-
1999-Q4,services,real estate and business,real estate and business,180,170,10
1999-Q4,services,community,community,20,20,-
1999-Q4,others,others,others,10,-,-
2000-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",40,40,-
2000-Q1,manufacturing,paper products and printing,paper products and printing,10,10,-
2000-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",70,70,-
2000-Q1,manufacturing,rubber and plastic products,rubber and plastic products,60,60,-
2000-Q1,manufacturing,fabricated metal products,fabricated metal products,150,150,-
2000-Q1,manufacturing,machinery and equipment,machinery and equipment,30,30,-
2000-Q1,manufacturing,electrical products,electrical products,50,50,10
2000-Q1,manufacturing,electronic products,electronic products,4560,4550,10
2000-Q1,manufacturing,medical and precision instruments,medical and precision instruments,-,-,-
2000-Q1,manufacturing,transport equipment,transport equipment,100,50,60
2000-Q1,manufacturing,other manufacturing industries,other manufacturing industries,30,30,-
2000-Q1,construction,construction,construction,140,90,60
2000-Q1,services,wholesale and retail trade,wholesale trade,320,310,10
2000-Q1,services,wholesale and retail trade,retail trade,60,60,-
2000-Q1,services,transport and storage,land transport and supporting services,-,-,-
2000-Q1,services,transport and storage,water transport and supporting services,30,30,-
2000-Q1,services,transport and storage,air transport and supporting services,-,-,-
2000-Q1,services,transport and storage,other transport and storage services,40,40,-
2000-Q1,services,hotels and restaurants,hotels,10,10,-
2000-Q1,services,hotels and restaurants,restaurants,50,50,-
2000-Q1,services,information and communications,broadcasting and publishing,30,20,-
2000-Q1,services,information and communications,telecommunications,-,-,-
2000-Q1,services,information and communications,it and other information services,10,10,-
2000-Q1,services,financial services,financial institutions,190,190,-
2000-Q1,services,financial services,insurance,-,-,-
2000-Q1,services,real estate and leasing services,real estate and leasing services,10,10,-
2000-Q1,services,professional services,"legal, accounting and management services",90,90,-
2000-Q1,services,professional services,architectural and engineering services,80,80,-
2000-Q1,services,professional services,other professional services,10,10,-
2000-Q1,services,administrative and support services,administrative and support services,10,-,10
2000-Q1,services,"community, social and personal services",education,10,10,-
2000-Q1,services,"community, social and personal services","health, social and community services",-,-,-
2000-Q1,services,"community, social and personal services","other community, social and personal services",-,-,-
2000-Q1,others,others,others,-,-,-
2000-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2000-Q2,manufacturing,paper products and printing,paper products and printing,-,-,-
2000-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",20,20,-
2000-Q2,manufacturing,rubber and plastic products,rubber and plastic products,-,-,-
2000-Q2,manufacturing,fabricated metal products,fabricated metal products,50,50,-
2000-Q2,manufacturing,machinery and equipment,machinery and equipment,20,20,-
2000-Q2,manufacturing,electrical products,electrical products,20,20,-
2000-Q2,manufacturing,electronic products,electronic products,340,340,-
2000-Q2,manufacturing,medical and precision instruments,medical and precision instruments,10,10,-
2000-Q2,manufacturing,transport equipment,transport equipment,60,60,-
2000-Q2,manufacturing,other manufacturing industries,other manufacturing industries,70,70,-
2000-Q2,construction,construction,construction,60,60,10
2000-Q2,services,wholesale and retail trade,wholesale trade,220,210,10
2000-Q2,services,wholesale and retail trade,retail trade,40,40,-
2000-Q2,services,transport and storage,land transport and supporting services,-,-,-
2000-Q2,services,transport and storage,water transport and supporting services,50,50,-
2000-Q2,services,transport and storage,air transport and supporting services,10,10,-
2000-Q2,services,transport and storage,other transport and storage services,60,60,-
2000-Q2,services,hotels and restaurants,hotels,190,190,-
2000-Q2,services,hotels and restaurants,restaurants,50,50,-
2000-Q2,services,information and communications,broadcasting and publishing,210,210,10
2000-Q2,services,information and communications,telecommunications,-,-,-
2000-Q2,services,information and communications,it and other information services,10,10,-
2000-Q2,services,financial services,financial institutions,230,230,-
2000-Q2,services,financial services,insurance,-,-,-
2000-Q2,services,real estate and leasing services,real estate and leasing services,10,10,-
2000-Q2,services,professional services,"legal, accounting and management services",50,50,-
2000-Q2,services,professional services,architectural and engineering services,50,50,-
2000-Q2,services,professional services,other professional services,-,-,-
2000-Q2,services,administrative and support services,administrative and support services,-,-,-
2000-Q2,services,"community, social and personal services",education,-,-,-
2000-Q2,services,"community, social and personal services","health, social and community services",-,-,-
2000-Q2,services,"community, social and personal services","other community, social and personal services",20,20,-
2000-Q2,others,others,others,-,-,-
2000-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",20,20,-
2000-Q3,manufacturing,paper products and printing,paper products and printing,-,-,-
2000-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",70,70,-
2000-Q3,manufacturing,rubber and plastic products,rubber and plastic products,-,-,-
2000-Q3,manufacturing,fabricated metal products,fabricated metal products,30,30,-
2000-Q3,manufacturing,machinery and equipment,machinery and equipment,120,120,-
2000-Q3,manufacturing,electrical products,electrical products,-,-,-
2000-Q3,manufacturing,electronic products,electronic products,470,470,-
2000-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-,-,-
2000-Q3,manufacturing,transport equipment,transport equipment,30,20,10
2000-Q3,manufacturing,other manufacturing industries,other manufacturing industries,60,60,-
2000-Q3,construction,construction,construction,60,40,20
2000-Q3,services,wholesale and retail trade,wholesale trade,190,190,-
2000-Q3,services,wholesale and retail trade,retail trade,-,-,-
2000-Q3,services,transport and storage,land transport and supporting services,-,-,-
2000-Q3,services,transport and storage,water transport and supporting services,70,60,10
2000-Q3,services,transport and storage,air transport and supporting services,10,-,-
2000-Q3,services,transport and storage,other transport and storage services,200,200,-
2000-Q3,services,hotels and restaurants,hotels,-,-,-
2000-Q3,services,hotels and restaurants,restaurants,70,70,-
2000-Q3,services,information and communications,broadcasting and publishing,40,40,-
2000-Q3,services,information and communications,telecommunications,10,10,-
2000-Q3,services,information and communications,it and other information services,10,10,-
2000-Q3,services,financial services,financial institutions,250,250,-
2000-Q3,services,financial services,insurance,-,-,-
2000-Q3,services,real estate and leasing services,real estate and leasing services,-,-,-
2000-Q3,services,professional services,"legal, accounting and management services",60,60,-
2000-Q3,services,professional services,architectural and engineering services,20,20,-
2000-Q3,services,professional services,other professional services,-,-,-
2000-Q3,services,administrative and support services,administrative and support services,10,-,10
2000-Q3,services,"community, social and personal services",education,-,-,-
2000-Q3,services,"community, social and personal services","health, social and community services",-,-,-
2000-Q3,services,"community, social and personal services","other community, social and personal services",10,10,-
2000-Q3,others,others,others,-,-,-
2000-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",20,20,-
2000-Q4,manufacturing,paper products and printing,paper products and printing,-,-,-
2000-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",30,30,-
2000-Q4,manufacturing,rubber and plastic products,rubber and plastic products,-,-,-
2000-Q4,manufacturing,fabricated metal products,fabricated metal products,60,50,-
2000-Q4,manufacturing,machinery and equipment,machinery and equipment,130,130,-
2000-Q4,manufacturing,electrical products,electrical products,-,-,-
2000-Q4,manufacturing,electronic products,electronic products,630,630,-
2000-Q4,manufacturing,medical and precision instruments,medical and precision instruments,-,-,-
2000-Q4,manufacturing,transport equipment,transport equipment,20,20,-
2000-Q4,manufacturing,other manufacturing industries,other manufacturing industries,100,100,-
2000-Q4,construction,construction,construction,110,70,40
2000-Q4,services,wholesale and retail trade,wholesale trade,160,150,-
2000-Q4,services,wholesale and retail trade,retail trade,20,20,-
2000-Q4,services,transport and storage,land transport and supporting services,10,10,-
2000-Q4,services,transport and storage,water transport and supporting services,20,20,-
2000-Q4,services,transport and storage,air transport and supporting services,10,10,-
2000-Q4,services,transport and storage,other transport and storage services,140,140,-
2000-Q4,services,hotels and restaurants,hotels,60,60,-
2000-Q4,services,hotels and restaurants,restaurants,10,10,-
2000-Q4,services,information and communications,broadcasting and publishing,20,20,-
2000-Q4,services,information and communications,telecommunications,20,20,-
2000-Q4,services,information and communications,it and other information services,60,60,-
2000-Q4,services,financial services,financial institutions,220,210,-
2000-Q4,services,financial services,insurance,30,30,-
2000-Q4,services,real estate and leasing services,real estate and leasing services,20,20,-
2000-Q4,services,professional services,"legal, accounting and management services",80,80,-
2000-Q4,services,professional services,architectural and engineering services,50,20,30
2000-Q4,services,professional services,other professional services,-,-,-
2000-Q4,services,administrative and support services,administrative and support services,-,-,-
2000-Q4,services,"community, social and personal services",education,-,-,-
2000-Q4,services,"community, social and personal services","health, social and community services",10,10,-
2000-Q4,services,"community, social and personal services","other community, social and personal services",40,40,-
2000-Q4,others,others,others,-,-,-
2001-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2001-Q1,manufacturing,paper products and printing,paper products and printing,-,-,-
2001-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",90,90,-
2001-Q1,manufacturing,rubber and plastic products,rubber and plastic products,630,440,200
2001-Q1,manufacturing,fabricated metal products,fabricated metal products,150,150,-
2001-Q1,manufacturing,machinery and equipment,machinery and equipment,70,70,-
2001-Q1,manufacturing,electrical products,electrical products,170,170,-
2001-Q1,manufacturing,electronic products,electronic products,670,640,30
2001-Q1,manufacturing,medical and precision instruments,medical and precision instruments,110,90,20
2001-Q1,manufacturing,transport equipment,transport equipment,20,20,-
2001-Q1,manufacturing,other manufacturing industries,other manufacturing industries,110,110,-
2001-Q1,construction,construction,construction,160,150,-
2001-Q1,services,wholesale and retail trade,wholesale trade,460,460,-
2001-Q1,services,wholesale and retail trade,retail trade,20,20,-
2001-Q1,services,transport and storage,land transport and supporting services,20,20,-
2001-Q1,services,transport and storage,water transport and supporting services,50,50,-
2001-Q1,services,transport and storage,air transport and supporting services,10,10,-
2001-Q1,services,transport and storage,other transport and storage services,-,-,-
2001-Q1,services,hotels and restaurants,hotels,-,-,-
2001-Q1,services,hotels and restaurants,restaurants,40,40,-
2001-Q1,services,information and communications,broadcasting and publishing,80,80,-
2001-Q1,services,information and communications,telecommunications,20,20,-
2001-Q1,services,information and communications,it and other information services,140,130,-
2001-Q1,services,financial services,financial institutions,250,250,-
2001-Q1,services,financial services,insurance,40,40,-
2001-Q1,services,real estate and leasing services,real estate and leasing services,-,-,-
2001-Q1,services,professional services,"legal, accounting and management services",140,140,-
2001-Q1,services,professional services,architectural and engineering services,10,10,-
2001-Q1,services,professional services,other professional services,10,10,-
2001-Q1,services,administrative and support services,administrative and support services,20,10,10
2001-Q1,services,"community, social and personal services",education,-,-,-
2001-Q1,services,"community, social and personal services","health, social and community services",-,-,-
2001-Q1,services,"community, social and personal services","other community, social and personal services",20,20,-
2001-Q1,others,others,others,-,-,-
2001-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",30,30,-
2001-Q2,manufacturing,paper products and printing,paper products and printing,60,60,-
2001-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",50,50,-
2001-Q2,manufacturing,rubber and plastic products,rubber and plastic products,400,390,10
2001-Q2,manufacturing,fabricated metal products,fabricated metal products,170,170,-
2001-Q2,manufacturing,machinery and equipment,machinery and equipment,360,350,20
2001-Q2,manufacturing,electrical products,electrical products,140,140,-
2001-Q2,manufacturing,electronic products,electronic products,2720,2260,460
2001-Q2,manufacturing,medical and precision instruments,medical and precision instruments,20,20,-
2001-Q2,manufacturing,transport equipment,transport equipment,30,30,-
2001-Q2,manufacturing,other manufacturing industries,other manufacturing industries,130,110,20
2001-Q2,construction,construction,construction,170,100,70
2001-Q2,services,wholesale and retail trade,wholesale trade,510,510,-
2001-Q2,services,wholesale and retail trade,retail trade,40,40,-
2001-Q2,services,transport and storage,land transport and supporting services,40,20,20
2001-Q2,services,transport and storage,water transport and supporting services,40,30,10
2001-Q2,services,transport and storage,air transport and supporting services,-,-,-
2001-Q2,services,transport and storage,other transport and storage services,40,30,-
2001-Q2,services,hotels and restaurants,hotels,-,-,-
2001-Q2,services,hotels and restaurants,restaurants,30,30,10
2001-Q2,services,information and communications,broadcasting and publishing,50,40,10
2001-Q2,services,information and communications,telecommunications,30,20,10
2001-Q2,services,information and communications,it and other information services,130,130,-
2001-Q2,services,financial services,financial institutions,270,260,10
2001-Q2,services,financial services,insurance,20,10,-
2001-Q2,services,real estate and leasing services,real estate and leasing services,60,60,-
2001-Q2,services,professional services,"legal, accounting and management services",460,460,10
2001-Q2,services,professional services,architectural and engineering services,30,30,-
2001-Q2,services,professional services,other professional services,190,190,-
2001-Q2,services,administrative and support services,administrative and support services,20,20,-
2001-Q2,services,"community, social and personal services",education,-,-,-
2001-Q2,services,"community, social and personal services","health, social and community services",-,-,-
2001-Q2,services,"community, social and personal services","other community, social and personal services",20,20,-
2001-Q2,others,others,others,20,20,-
2001-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",30,20,-
2001-Q3,manufacturing,paper products and printing,paper products and printing,40,40,-
2001-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",70,70,-
2001-Q3,manufacturing,rubber and plastic products,rubber and plastic products,170,170,-
2001-Q3,manufacturing,fabricated metal products,fabricated metal products,380,360,20
2001-Q3,manufacturing,machinery and equipment,machinery and equipment,330,310,10
2001-Q3,manufacturing,electrical products,electrical products,100,100,-
2001-Q3,manufacturing,electronic products,electronic products,4060,3760,300
2001-Q3,manufacturing,medical and precision instruments,medical and precision instruments,80,80,-
2001-Q3,manufacturing,transport equipment,transport equipment,50,50,-
2001-Q3,manufacturing,other manufacturing industries,other manufacturing industries,180,180,-
2001-Q3,construction,construction,construction,260,170,90
2001-Q3,services,wholesale and retail trade,wholesale trade,770,760,10
2001-Q3,services,wholesale and retail trade,retail trade,70,70,-
2001-Q3,services,transport and storage,land transport and supporting services,130,130,-
2001-Q3,services,transport and storage,water transport and supporting services,10,10,-
2001-Q3,services,transport and storage,air transport and supporting services,10,10,-
2001-Q3,services,transport and storage,other transport and storage services,210,210,-
2001-Q3,services,hotels and restaurants,hotels,-,-,-
2001-Q3,services,hotels and restaurants,restaurants,10,10,-
2001-Q3,services,information and communications,broadcasting and publishing,80,70,10
2001-Q3,services,information and communications,telecommunications,50,40,10
2001-Q3,services,information and communications,it and other information services,260,250,10
2001-Q3,services,financial services,financial institutions,760,760,10
2001-Q3,services,financial services,insurance,10,10,-
2002-Q1,services,financial services,insurance,30,30,-
2001-Q3,services,real estate and leasing services,real estate and leasing services,10,10,-
2001-Q3,services,professional services,"legal, accounting and management services",330,310,20
2001-Q3,services,professional services,architectural and engineering services,70,60,10
2001-Q3,services,professional services,other professional services,30,20,10
2001-Q3,services,administrative and support services,administrative and support services,180,170,10
2001-Q3,services,"community, social and personal services",education,10,10,-
2001-Q3,services,"community, social and personal services","health, social and community services",-,-,-
2001-Q3,services,"community, social and personal services","other community, social and personal services",40,40,10
2001-Q3,others,others,others,100,100,-
2001-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",40,40,-
2001-Q4,manufacturing,paper products and printing,paper products and printing,30,30,-
2001-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",110,110,-
2001-Q4,manufacturing,rubber and plastic products,rubber and plastic products,230,230,-
2001-Q4,manufacturing,fabricated metal products,fabricated metal products,180,170,10
2001-Q4,manufacturing,machinery and equipment,machinery and equipment,420,400,10
2001-Q4,manufacturing,electrical products,electrical products,210,210,-
2001-Q4,manufacturing,electronic products,electronic products,2350,2240,110
2001-Q4,manufacturing,medical and precision instruments,medical and precision instruments,40,40,-
2001-Q4,manufacturing,transport equipment,transport equipment,130,130,-
2001-Q4,manufacturing,other manufacturing industries,other manufacturing industries,320,320,-
2001-Q4,construction,construction,construction,320,270,50
2001-Q4,services,wholesale and retail trade,wholesale trade,1020,1010,10
2001-Q4,services,wholesale and retail trade,retail trade,80,80,-
2001-Q4,services,transport and storage,land transport and supporting services,10,10,-
2001-Q4,services,transport and storage,water transport and supporting services,40,40,-
2001-Q4,services,transport and storage,air transport and supporting services,300,300,-
2001-Q4,services,transport and storage,other transport and storage services,190,190,-
2001-Q4,services,hotels and restaurants,hotels,50,50,-
2001-Q4,services,hotels and restaurants,restaurants,100,100,-
2001-Q4,services,information and communications,broadcasting and publishing,300,300,-
2001-Q4,services,information and communications,telecommunications,110,110,-
2001-Q4,services,information and communications,it and other information services,460,430,30
2001-Q4,services,financial services,financial institutions,1100,1100,10
